date,entity,crimes2
2015-01-28,P-047,0.0
2015-01-28,P-049,0.0
2015-01-28,P-062,0.0
2015-01-28,P-045,0.0
2015-01-28,P-067,0.0
2015-01-28,P-104,0.0
2015-01-28,P-083,0.0
2015-01-28,P-094,0.0
2015-01-28,P-121,0.0
2015-01-28,P-005,0.0
2015-01-28,P-025,0.0
2015-01-28,P-046,0.0
2015-01-28,P-110,0.0
2015-01-28,P-061,0.0
2015-01-28,P-081,0.0
2015-01-28,P-105,0.0
2015-01-28,P-115,0.0
2015-01-28,P-107,0.0
2015-01-28,P-013,0.0
2015-01-28,P-020,0.0
2015-01-28,P-050,0.0
2015-01-28,P-079,0.0
2015-01-28,P-001,0.0
2015-01-28,P-006,0.0
2015-01-28,P-014,0.0
2015-01-28,P-072,0.0
2015-01-28,P-073,0.0
2015-01-28,P-048,0.0
2015-01-28,P-114,0.0
2015-01-28,P-122,0.0
2015-01-28,P-052,0.0
2015-01-28,P-078,0.0
2015-01-28,P-077,0.0
2015-01-28,P-026,0.0
2015-01-28,P-108,0.0
2015-01-28,P-070,0.0
2015-01-28,P-069,0.0
2015-01-28,P-120,0.0
2015-01-28,P-063,0.0
2015-01-28,P-071,0.0
2015-01-28,P-084,0.0
2015-01-28,P-009,0.0
2015-01-28,P-068,0.0
2015-01-28,P-076,0.0
2015-01-28,P-066,0.0
2015-01-28,P-017,0.0
2015-01-28,P-042,0.0
2015-01-28,P-088,0.0
2015-01-28,P-032,0.0
2015-01-28,P-060,0.0
2015-01-28,P-102,0.0
2015-01-28,P-028,0.0
2015-01-28,P-090,0.0
2015-01-28,P-112,0.0
2015-01-28,P-010,0.0
2015-01-28,P-106,0.0
2015-01-28,P-024,0.0
2015-01-28,P-101,0.0
2015-01-28,P-030,0.0
2015-01-28,P-033,0.0
2015-01-28,P-034,0.0
2015-01-28,P-111,0.0
2015-01-28,P-100,0.0
2015-01-28,P-123,0.0
2015-01-28,P-022,0.0
2015-01-30,P-018,0.0
2015-01-30,P-044,0.0
2015-01-30,P-075,1.4285714285714286
2015-01-30,P-043,0.0
2015-01-30,P-040,0.0
2015-01-30,P-109,0.0
2015-01-30,P-007,1.0
2015-01-30,P-023,1.1428571428571428
2015-01-30,P-103,1.7142857142857142
2015-01-30,P-019,0.0
2015-01-30,P-041,0.0
2015-01-30,P-113,0.0
2015-01-30,P-047,0.0
2015-01-30,P-049,0.0
2015-01-30,P-062,0.0
2015-01-30,P-045,0.0
2015-01-30,P-067,0.0
2015-01-30,P-104,0.0
2015-01-30,P-083,0.0
2015-01-30,P-094,0.0
2015-01-30,P-121,0.0
2015-01-30,P-005,0.0
2015-01-30,P-025,0.0
2015-01-30,P-046,0.0
2015-01-30,P-110,0.0
2015-01-30,P-061,0.0
2015-01-30,P-081,0.0
2015-01-30,P-105,0.0
2015-01-30,P-115,0.0
2015-01-30,P-107,0.0
2015-01-30,P-013,0.0
2015-01-30,P-020,0.0
2015-01-30,P-050,0.0
2015-01-30,P-079,0.0
2015-01-30,P-001,0.0
2015-01-30,P-006,0.0
2015-01-30,P-014,0.0
2015-01-30,P-072,0.0
2015-01-30,P-073,0.0
2015-01-30,P-048,0.0
2015-01-30,P-114,0.0
2015-01-30,P-122,0.0
2015-01-30,P-052,0.0
2015-01-30,P-078,0.0
2015-01-30,P-077,0.0
2015-01-30,P-026,0.0
2015-01-30,P-108,0.0
2015-01-30,P-070,0.0
2015-01-30,P-069,0.0
2015-01-30,P-120,0.0
2015-01-30,P-063,0.0
2015-01-30,P-071,0.0
2015-01-30,P-084,0.0
2015-01-30,P-009,0.0
2015-01-30,P-068,0.0
2015-01-30,P-076,0.0
2015-01-30,P-066,0.0
2015-01-30,P-017,0.0
2015-01-30,P-042,0.0
2015-01-30,P-088,0.0
2015-01-30,P-032,0.0
2015-01-30,P-060,0.0
2015-01-30,P-102,0.0
2015-01-30,P-028,0.0
2015-01-30,P-090,0.0
2015-01-30,P-112,0.0
2015-01-30,P-010,0.0
2015-01-30,P-106,0.0
2015-01-30,P-024,0.0
2015-01-30,P-101,0.0
2015-01-30,P-030,0.0
2015-01-30,P-033,0.0
2015-01-30,P-034,0.0
2015-01-30,P-111,0.0
2015-01-30,P-100,0.0
2015-01-30,P-123,0.0
2015-01-30,P-022,0.0
2015-01-31,P-018,0.0
2015-01-31,P-044,0.0
2015-01-31,P-075,0.0
2015-01-31,P-043,0.0
2015-01-31,P-040,0.0
2015-01-31,P-109,0.0
2015-01-31,P-007,0.0
2015-01-31,P-023,1.1428571428571428
2015-01-31,P-103,0.0
2015-01-31,P-019,1.2857142857142858
2015-01-31,P-041,0.0
2015-01-31,P-113,0.0
2015-01-31,P-047,0.0
2015-01-31,P-049,0.0
2015-01-31,P-062,0.0
2015-01-31,P-045,0.0
2015-01-31,P-067,0.0
2015-01-31,P-104,0.0
2015-01-31,P-083,0.0
2015-01-31,P-094,0.0
2015-01-31,P-121,0.0
2015-01-31,P-005,0.0
2015-01-31,P-025,0.0
2015-01-31,P-046,0.0
2015-01-31,P-110,0.0
2015-01-31,P-061,0.0
2015-01-31,P-081,0.0
2015-01-31,P-105,0.0
2015-01-31,P-115,0.0
2015-01-31,P-107,0.0
2015-01-31,P-013,0.0
2015-01-31,P-020,0.0
2015-01-31,P-050,0.0
2015-01-31,P-079,0.0
2015-01-31,P-001,0.0
2015-01-31,P-006,0.0
2015-01-31,P-014,0.0
2015-01-31,P-072,0.0
2015-01-31,P-073,0.0
2015-01-31,P-048,0.0
2015-01-31,P-114,0.0
2015-01-31,P-122,0.0
2015-01-31,P-052,0.0
2015-01-31,P-078,0.0
2015-01-31,P-077,0.0
2015-01-31,P-026,0.0
2015-01-31,P-108,0.0
2015-01-31,P-070,0.0
2015-01-31,P-069,0.0
2015-01-31,P-120,0.0
2015-01-31,P-063,0.0
2015-01-31,P-071,0.0
2015-01-31,P-084,0.0
2015-01-31,P-009,0.0
2015-01-31,P-068,0.0
2015-01-31,P-076,0.0
2015-01-31,P-066,0.0
2015-01-31,P-017,0.0
2015-01-31,P-042,0.0
2015-01-31,P-088,0.0
2015-01-31,P-032,0.0
2015-01-31,P-060,0.0
2015-01-31,P-102,0.0
2015-01-31,P-028,0.0
2015-01-31,P-090,0.0
2015-01-31,P-112,0.0
2015-01-31,P-010,0.0
2015-01-31,P-106,0.0
2015-01-31,P-024,0.0
2015-01-31,P-101,0.0
2015-01-31,P-030,0.0
2015-01-31,P-033,0.0
2015-01-31,P-034,0.0
2015-01-31,P-111,0.0
2015-01-31,P-100,0.0
2015-01-31,P-123,0.0
2015-01-31,P-022,0.0
2015-02-01,P-018,0.0
2015-02-01,P-044,0.0
